service_id,date,exception_type
1,20171103,1
1,20171104,1
1,20171110,1
1,20171111,1
1,20171117,1
1,20171118,1
1,20171122,1
1,20171124,1
1,20171125,1
1,20171201,1
1,20171202,1
1,20171208,1
1,20171209,1
1,20171215,1
1,20171216,1
1,20171222,1
1,20171223,1
1,20171224,1
1,20171229,1
1,20171230,1
1,20171231,1
1,20180105,1
1,20180106,1
1,20180112,1
1,20180113,1
1,20180114,1
1,20180119,1
1,20180120,1
1,20180126,1
1,20180127,1
1,20180202,1
1,20180203,1
1,20180209,1
1,20180210,1
1,20180216,1
1,20180217,1
1,20180218,1
1,20180223,1
1,20180224,1
1,20180302,1
1,20180303,1
1,20180309,1
1,20180310,1
1,20180316,1
1,20180317,1
1,20180323,1
1,20180324,1
1,20180330,1
1,20180331,1
1,20180406,1
1,20180407,1
1,20180413,1
1,20180414,1
1,20180420,1
1,20180421,1
1,20180427,1
1,20180428,1
2,20171104,1
2,20171105,1
2,20171111,1
2,20171112,1
2,20171118,1
2,20171119,1
2,20171123,1
2,20171125,1
2,20171126,1
2,20171202,1
2,20171203,1
2,20171209,1
2,20171210,1
2,20171216,1
2,20171217,1
2,20171223,1
2,20171224,1
2,20171225,1
2,20171230,1
2,20171231,1
2,20180101,1
2,20180106,1
2,20180107,1
2,20180113,1
2,20180114,1
2,20180115,1
2,20180120,1
2,20180121,1
2,20180127,1
2,20180128,1
2,20180203,1
2,20180204,1
2,20180210,1
2,20180211,1
2,20180217,1
2,20180218,1
2,20180219,1
2,20180224,1
2,20180225,1
2,20180303,1
2,20180304,1
2,20180310,1
2,20180311,1
2,20180317,1
2,20180318,1
2,20180324,1
2,20180325,1
2,20180331,1
2,20180401,1
2,20180407,1
2,20180408,1
2,20180414,1
2,20180415,1
2,20180421,1
2,20180422,1
2,20180428,1
2,20180429,1
3,20171101,1
3,20171102,1
3,20171105,1
3,20171106,1
3,20171107,1
3,20171108,1
3,20171109,1
3,20171112,1
3,20171113,1
3,20171114,1
3,20171115,1
3,20171116,1
3,20171119,1
3,20171120,1
3,20171121,1
3,20171123,1
3,20171126,1
3,20171127,1
3,20171128,1
3,20171129,1
3,20171130,1
3,20171203,1
3,20171204,1
3,20171205,1
3,20171206,1
3,20171207,1
3,20171210,1
3,20171211,1
3,20171212,1
3,20171213,1
3,20171214,1
3,20171217,1
3,20171218,1
3,20171219,1
3,20171220,1
3,20171221,1
3,20171225,1
3,20171226,1
3,20171227,1
3,20171228,1
3,20180101,1
3,20180102,1
3,20180103,1
3,20180104,1
3,20180107,1
3,20180108,1
3,20180109,1
3,20180110,1
3,20180111,1
3,20180115,1
3,20180116,1
3,20180117,1
3,20180118,1
3,20180121,1
